stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,in_midt,in_cph
8600693,,Skovbrynet St.,,55.765172623635,12.43202951903,0,,0,,False,True
8600692,,Bagsværd St.,,55.761871657518,12.453554242659,0,,0,,False,True
8600691,,Stengården St.,,55.756534369979,12.473188160005,0,,0,,False,True
8600690,,Buddinge St.,,55.747382844304,12.494037931574,0,,0,,False,True
8600048,,Hinnerup St.,,56.263084723333,10.060070188611,0,,0,,True,False
8600047,,Hadsten St.,,56.327500246928,10.047235431376,0,,0,,True,False
8600739,,Bispebjerg St.,,55.706347661736,12.541631707268,0,,0,,False,True
8600736,,Flintholm St.,,55.685434678459,12.498660137073,0,,0,,False,True
8600734,,Jyllingevej St.,,55.690810321608,12.477205847386,0,,0,,False,True
8600662,,Vedbæk St.,,55.852903753136,12.563021639091,0,,0,,False,True
8600663,,Rungsted Kyst St.,,55.882227109192,12.53147749564,0,,0,,False,True
8600661,,Skodsborg St.,,55.823530870606,12.571290532415,0,,0,,False,True
8603009,,Nærum St.,,55.813928682676,12.528316757226,0,,0,,False,True
8603007,,Lyngby Lokal St.,,55.773904858742,12.505489658493,0,,0,,False,True
8603003,,Fuglevad St.,,55.784448635382,12.497087081502,0,,0,,False,True
8603001,,Brede St.,,55.793803677915,12.500735257071,0,,0,,False,True
8600689,,Vangede St.,,55.73965761395,12.523342114334,0,,0,,False,True
8600688,,Emdrup St.,,55.720887447097,12.540686879685,0,,0,,False,True
8600600,,Hvidovre St.,,55.664510478176,12.474345981619,0,,0,,False,True
8600680,,Rødovre St.,,55.664819641675,12.458641179704,0,,0,,False,True
8600658,,Ordrup St.,,55.763070336454,12.583649167866,0,,0,,False,True
8600659,,Klampenborg St.,,55.777445859018,12.587729917454,0,,0,,False,True
8600657,,Charlottenlund St.,,55.751851288621,12.572144474528,0,,0,,False,True
8600654,,Svanemøllen St.,,55.715550412042,12.578049483066,0,,0,,False,True
8600655,,Hellerup St.,,55.731022077714,12.567658479376,0,,0,,False,True
8600653,,Nordhavn St.,,55.705616051687,12.59061270481,0,,0,,False,True
8600650,,Østerport St.,,55.692498791312,12.587785127349,0,,0,,False,True
8600858,,CPH Lufthavn,,55.629442640199,12.649165939903,0,,0,,False,True
8600856,,Ørestad St.,,55.62843449593,12.578775863595,0,,0,,False,True
8600857,,Tårnby St.,,55.629855325049,12.602094527522,0,,0,,False,True
8603322,,Lergravsparken St. (Metro),,55.662101302701,12.616416741816,0,,0,,False,True
8603321,,Amagerbro St. (Metro),,55.663325717228,12.602928881164,0,,0,,False,True
8600770,,Greve St.,,55.581217463338,12.295599212601,0,,0,,False,True
8600771,,Karlslunde St.,,55.56629017553,12.268851082132,0,,0,,False,True
8600798,,Høje Taastrup St.,,55.648869371621,12.269580583877,0,,0,,False,True
751400302,,Østergårdsvej/Solbjerg Hovedgade (Aarhus Kom),,56.038141368581,10.082401324954,0,,0,,True,False
751300901,,Harald Jensens Plads/Skanderborgvej (Aarhus Kom),,56.143573768436,10.188288982445,0,,0,,True,False
745000102,,Gadebakken/Virringvej (Skanderborg Kom),,56.032372380481,10.03318004958,0,,0,,True,False
745100302,,Svinsager/Gl. Horsensvej (Skanderborg Kom),,56.014804941057,10.03649670648,0,,0,,True,False
745100301,,Svinsager/Gl. Horsensvej (Skanderborg Kom),,56.016649195002,10.037300065364,0,,0,,True,False
751300902,,Harald Jensens Plads/Skanderborgvej (Aarhus Kom),,56.144086875098,10.190059185917,0,,0,,True,False
751101001,,Tranbjerg Stationsvej/Tranbjerg Hovedgade (Aarhus),,56.095390170422,10.136136914601,0,,0,,True,False
751101002,,Tranbjerg Stationsvej/Tranbjerg Hovedgade (Aarhus),,56.096147960261,10.136786155404,0,,0,,True,False
745000101,,Gadebakken/Virringvej (Skanderborg Kom),,56.032850920794,10.032903960148,0,,0,,True,False
8600742,,Danshøj St.,,55.66427428919,12.493731681053,0,,0,,False,True
8600740,,KB Hallen St.,,55.677963407988,12.492327534057,0,,0,,False,True
8600741,,Ålholm St.,,55.672330307797,12.493113898916,0,,0,,False,True
8600783,,Ny Ellebjerg St.,,55.652625588291,12.516848994787,0,,0,,False,True
8600804,,Vigerslev Alle St.,,55.659898001629,12.498685625824,0,,0,,False,True
8603323,,Øresund St. (Metro),,55.661700666101,12.628453101001,0,,0,,False,True
8603324,,Amager Strand St. (Metro),,55.65651848373,12.631583562741,0,,0,,False,True
8603326,,Femøren St. (Metro),,55.64534830186,12.638323824276,0,,0,,False,True
8603327,,Kastrup St. (Metro),,55.635746618338,12.646732274924,0,,0,,False,True
8603328,,Lufthavnen St. (Metro),,55.630137365617,12.649389525367,0,,0,,False,True
701000102,,Egens (Syddjurs Kom),,56.269454831783,10.516056259128,0,,0,,True,False
701000201,,Femmøller (Syddjurs Kom),,56.239585123222,10.576531904402,0,,0,,True,False
701000202,,Femmøller (Syddjurs Kom),,56.239695421217,10.57563280691,0,,0,,True,False
701000301,,Grønfeld (Syddjurs Kom),,56.252785149017,10.55166744677,0,,0,,True,False
701300201,,Vrinners (Syddjurs Kom),,56.243869831693,10.493355841314,0,,0,,True,False
701300202,,Vrinners (Syddjurs Kom),,56.244019986831,10.493571478021,0,,0,,True,False
703000401,,Galten/Silkeborgvej (Skanderborg Kom),,56.148324507106,9.899227453752,0,,0,,True,False
703000501,,Engvej/Langelinie (Skanderborg Kom),,56.183891909536,9.969982028112,0,,0,,True,False
703000701,,Hørslevvej/Smedeskovvej (Skanderborg Kom),,56.158395220693,9.942853839732,0,,0,,True,False
